customer_id,customer_name,total_revenue,cumulative_distribution
C0147,Isha Gupta,-19018.37,0.0025
C0142,Rohan Mehta,-15966.05,0.0049
C0092,Aarav Joshi,-13018.91,0.0074
C0479,Rahul Patil,-7215.44,0.0099
C0209,Priya Joshi,-6302.42,0.0123
C0131,Karan Gupta,-928.98,0.0148
C0008,Rahul Kulkarni,10.04,0.0172
C0240,Neha Patil,381.3,0.0197
C0212,Neha Joshi,546.96,0.0222
C0155,Sneha Patil,569.72,0.0246
C0282,Rahul Singh,592.67,0.0271
C0370,Priya Shah,671.72,0.0296
C0005,Priya Shah,704.32,0.032
C0493,Arjun Sharma,1023.9,0.0345
C0239,Arjun Patil,1076.77,0.0369
C0167,Rohan Kulkarni,1335.22,0.0394
C0362,Arjun Joshi,1840.74,0.0419
C0253,Aditya Kulkarni,1860.27,0.0443
C0053,Priya Gupta,2201.83,0.0468
C0055,Aditi Shah,2226.54,0.0493
C0036,Vivaan Mehta,2300.96,0.0517
C0394,Aditya Singh,2392.7,0.0542
C0307,Neha Kulkarni,2537.15,0.0567
C0173,Karan Kulkarni,2728.88,0.0591
C0375,Sneha Verma,2814.75,0.0616
C0374,Priya Shah,3034.11,0.064
C0267,Rohan Deshmukh,3258.0,0.0665
C0165,Sneha Mehta,3263.86,0.069
C0051,Priya Shah,3318.3,0.0714
C0329,Ananya Mehta,3372.61,0.0739
C0090,Vivaan Joshi,3419.54,0.0764
C0158,Sneha Joshi,3537.45,0.0788
C0179,Priya Joshi,3725.85,0.0813
C0170,Rohan Patil,3789.73,0.0837
C0451,Kavya Kulkarni,3888.88,0.0862
C0234,Rohan Mehta,4019.62,0.0887
C0096,Ananya Deshmukh,4128.96,0.0911
C0169,Ananya Sharma,4459.63,0.0936
C0033,Isha Joshi,4519.95,0.0961
C0263,Rahul Deshmukh,4599.23,0.0985
C0457,Isha Verma,4706.07,0.101
C0309,Vivaan Verma,4925.05,0.1034
C0145,Priya Kulkarni,4959.17,0.1059
C0471,Sneha Gupta,5092.95,0.1084
C0333,Sneha Verma,5201.57,0.1108
C0172,Arjun Verma,5278.33,0.1133
C0469,Rahul Gupta,5480.77,0.1158
C0238,Vivaan Deshmukh,5484.53,0.1182
C0312,Ananya Verma,5493.73,0.1207
C0458,Isha Sharma,5563.87,0.1232
C0199,Isha Patil,5668.65,0.1256
C0044,Arjun Mehta,5695.89,0.1281
C0180,Sneha Gupta,5810.07,0.1305
C0442,Sneha Kulkarni,5934.15,0.133
C0364,Rohan Shah,6152.87,0.1355
C0119,Vivaan Shah,6275.03,0.1379
C0283,Aditya Deshmukh,6354.07,0.1404
C0372,Aditi Shah,6411.89,0.1429
C0417,Aditya Verma,6539.91,0.1453
C0420,Kavya Joshi,6718.64,0.1478
C0164,Vivaan Shah,6765.56,0.1502
C0195,Priya Joshi,6777.85,0.1527
