customer_id,customer_name,total_revenue,customer_segment
C0295,Kavya Verma,217965.86,1
C0216,Kavya Deshmukh,177738.03,1
C0315,Aditi Singh,148693.73,1
C0444,Rohan Patil,147108.06,1
C0435,Aarav Gupta,140000.07,1
C0381,Pooja Gupta,127714.6,1
C0363,Isha Patil,120532.96,1
C0324,Karan Deshmukh,116688.01,1
C0351,Kavya Mehta,111226.95,1
C0233,Aditya Joshi,110281.16,1
C0453,Aditya Singh,108641.67,1
C0262,Sneha Sharma,105367.59,1
C0071,Pooja Kulkarni,104529.58,1
C0429,Rahul Singh,102520.68,1
C0176,Ananya Gupta,101122.13,1
C0464,Isha Patil,100987.04,1
C0436,Vivaan Joshi,99760.44,1
C0274,Aarav Mehta,96789.57,1
C0350,Aarav Singh,96020.19,1
C0161,Arjun Shah,94244.93,1
C0321,Rohan Gupta,93928.9,1
C0086,Arjun Kulkarni,93846.62,1
C0061,Aarav Patil,82789.37,1
C0268,Arjun Deshmukh,82610.94,1
C0084,Aditi Verma,81372.77,1
C0031,Neha Gupta,81269.51,1
C0326,Rahul Shah,80235.63,1
C0004,Rohan Sharma,79546.5,1
C0174,Pooja Kulkarni,77979.76,1
C0040,Isha Singh,77047.77,1
C0046,Aarav Patil,74787.9,1
C0445,Kavya Deshmukh,74485.08,1
C0152,Arjun Mehta,73764.03,1
C0266,Vivaan Kulkarni,73666.69,1
C0348,Sneha Shah,71884.56,1
C0107,Rohan Deshmukh,71751.51,1
C0332,Neha Shah,70228.48,1
C0047,Vivaan Joshi,69040.57,1
C0120,Rahul Patil,68914.74,1
C0256,Rohan Patil,68841.63,1
C0196,Neha Verma,67578.45,1
C0226,Aditi Singh,64898.99,1
C0460,Pooja Mehta,64310.41,1
C0054,Vivaan Patil,64041.27,1
C0284,Pooja Shah,63855.8,1
C0305,Rohan Mehta,62864.91,1
C0308,Kavya Mehta,62639.26,1
C0146,Aditya Kulkarni,62062.98,1
C0424,Aditi Sharma,61917.06,1
C0323,Arjun Kulkarni,61146.54,1
C0491,Arjun Joshi,58572.64,1
C0133,Kavya Shah,58347.23,1
C0166,Priya Verma,58152.94,1
C0292,Karan Sharma,57952.49,1
C0072,Aditya Mehta,57656.68,1
C0106,Karan Joshi,57216.09,1
C0198,Aditi Verma,57067.5,1
C0223,Isha Patil,57030.5,1
C0244,Rohan Joshi,56195.11,1
C0316,Rohan Sharma,56042.95,1
C0485,Aarav Verma,55643.37,1
C0261,Karan Singh,55543.0,1
C0217,Vivaan Shah,55533.1,1
C0213,Priya Shah,55516.2,1
C0353,Kavya Joshi,55511.17,1
C0439,Aditya Kulkarni,55339.08,1
C0182,Isha Shah,54674.83,1
C0317,Kavya Gupta,54349.47,1
C0355,Aditya Mehta,54123.12,1
C0470,Rohan Sharma,53841.8,1
C0476,Sneha Verma,53741.67,1
C0156,Vivaan Deshmukh,53670.16,1
C0265,Pooja Sharma,53046.61,1
C0401,Rahul Gupta,53002.04,1
C0242,Rohan Mehta,52662.19,1
C0218,Kavya Gupta,52560.24,1
C0021,Neha Kulkarni,52280.87,1
C0115,Neha Sharma,51180.87,1
C0007,Rahul Deshmukh,51166.44,1
C0041,Sneha Verma,50983.85,1
C0108,Vivaan Sharma,50515.25,1
C0103,Kavya Deshmukh,50334.18,1
C0076,Kavya Shah,50250.08,1
C0032,Aditya Mehta,50209.55,1
C0338,Ananya Sharma,50068.43,1
C0407,Priya Sharma,49645.25,1
C0015,Sneha Joshi,49307.13,1
C0178,Arjun Sharma,49226.17,1
C0228,Aarav Kulkarni,49112.05,1
C0287,Rohan Gupta,48764.98,1
C0433,Kavya Kulkarni,48594.89,1
C0135,Aditi Patil,48560.48,1
C0330,Pooja Joshi,48558.47,1
C0094,Aditi Mehta,48125.67,1
C0220,Rohan Sharma,47903.07,1
C0059,Rohan Sharma,47873.88,1
C0151,Pooja Gupta,47707.94,1
C0011,Aditi Patil,47688.83,1
C0359,Sneha Deshmukh,47448.75,1
C0461,Rahul Kulkarni,46656.23,1
C0038,Kavya Kulkarni,46620.19,1
C0473,Vivaan Deshmukh,46614.7,1
C0247,Aditya Sharma,46495.09,2
C0273,Ananya Gupta,46138.99,2
C0022,Isha Deshmukh,46027.15,2
C0271,Kavya Sharma,45734.52,2
C0124,Aditi Verma,45430.87,2
C0299,Aditya Gupta,45399.58,2
C0279,Aarav Sharma,45383.32,2
C0132,Aditi Verma,44881.66,2
C0111,Aditya Patil,44636.93,2
C0411,Priya Singh,44507.47,2
C0449,Arjun Mehta,44432.48,2
C0354,Rahul Sharma,43625.64,2
C0387,Aditya Joshi,43583.22,2
C0487,Priya Sharma,43500.65,2
C0225,Aarav Mehta,42931.86,2
C0486,Arjun Gupta,42891.06,2
C0415,Aarav Singh,42371.35,2
C0291,Ananya Patil,42020.91,2
C0202,Karan Sharma,41545.18,2
C0410,Ananya Mehta,41405.47,2
C0149,Rohan Deshmukh,41312.45,2
C0140,Rohan Joshi,41238.03,2
C0184,Isha Singh,41042.46,2
C0481,Isha Kulkarni,40986.69,2
