customer_id,customer_name
C0004,Rohan Sharma
C0006,Neha Verma
C0007,Rahul Deshmukh
C0008,Rahul Kulkarni
C0009,Arjun Joshi
C0010,Karan Deshmukh
C0011,Aditi Patil
C0012,Isha Deshmukh
C0013,Aditi Sharma
C0014,Arjun Mehta
C0015,Sneha Joshi
C0018,Vivaan Gupta
C0019,Ananya Singh
C0023,Rohan Gupta
C0027,Kavya Gupta
C0030,Vivaan Shah
C0034,Isha Patil
C0035,Aarav Mehta
C0036,Vivaan Mehta
C0039,Priya Gupta
C0040,Isha Singh
C0042,Kavya Verma
C0045,Isha Shah
C0046,Aarav Patil
C0048,Aditya Singh
C0051,Priya Shah
C0053,Priya Gupta
C0054,Vivaan Patil
C0059,Rohan Sharma
C0064,Aarav Gupta
C0065,Arjun Gupta
C0066,Pooja Verma
C0070,Vivaan Deshmukh
C0072,Aditya Mehta
C0073,Aditi Deshmukh
C0076,Kavya Shah
C0078,Pooja Joshi
C0081,Priya Gupta
C0082,Rahul Singh
C0085,Isha Gupta
C0087,Priya Singh
C0088,Aditi Kulkarni
C0089,Pooja Sharma
C0091,Rohan Shah
C0096,Ananya Deshmukh
C0099,Neha Deshmukh
C0100,Rohan Sharma
C0101,Vivaan Deshmukh
C0103,Kavya Deshmukh
C0108,Vivaan Sharma
C0109,Sneha Joshi
C0111,Aditya Patil
C0112,Ananya Singh
C0114,Ananya Shah
C0116,Kavya Gupta
C0117,Aditya Verma
C0118,Aarav Deshmukh
C0119,Vivaan Shah
C0121,Aarav Sharma
C0123,Pooja Mehta
C0125,Neha Shah
C0126,Arjun Joshi
C0128,Neha Shah
C0131,Karan Gupta
C0132,Aditi Verma
C0134,Rohan Mehta
C0136,Aditya Mehta
C0139,Kavya Joshi
C0141,Rohan Gupta
C0142,Rohan Mehta
C0144,Aditi Kulkarni
C0149,Rohan Deshmukh
C0150,Arjun Joshi
C0155,Sneha Patil
C0156,Vivaan Deshmukh
C0158,Sneha Joshi
C0160,Aditya Deshmukh
C0163,Sneha Mehta
C0164,Vivaan Shah
C0167,Rohan Kulkarni
C0168,Arjun Sharma
C0169,Ananya Sharma
C0170,Rohan Patil
C0173,Karan Kulkarni
C0179,Priya Joshi
C0180,Sneha Gupta
C0182,Isha Shah
C0185,Ananya Joshi
C0186,Karan Gupta
C0188,Aditya Kulkarni
C0189,Kavya Gupta
C0190,Karan Deshmukh
C0192,Isha Singh
C0195,Priya Joshi
C0196,Neha Verma
C0198,Aditi Verma
C0199,Isha Patil
C0204,Aditi Kulkarni
C0206,Pooja Gupta
C0207,Neha Shah
C0209,Priya Joshi
C0210,Rohan Patil
C0211,Kavya Patil
C0212,Neha Joshi
C0213,Priya Shah
C0215,Ananya Mehta
C0216,Kavya Deshmukh
C0217,Vivaan Shah
C0218,Kavya Gupta
C0220,Rohan Sharma
C0225,Aarav Mehta
C0226,Aditi Singh
C0228,Aarav Kulkarni
C0229,Aarav Patil
C0230,Isha Joshi
C0231,Neha Kulkarni
C0232,Pooja Shah
C0233,Aditya Joshi
C0234,Rohan Mehta
C0237,Kavya Kulkarni
C0238,Vivaan Deshmukh
C0239,Arjun Patil
C0241,Ananya Singh
C0243,Aditya Gupta
C0244,Rohan Joshi
C0246,Karan Deshmukh
C0248,Ananya Singh
C0249,Rohan Kulkarni
C0250,Pooja Kulkarni
C0253,Aditya Kulkarni
C0256,Rohan Patil
C0261,Karan Singh
C0262,Sneha Sharma
C0265,Pooja Sharma
C0267,Rohan Deshmukh
C0272,Pooja Verma
C0273,Ananya Gupta
C0274,Aarav Mehta
C0278,Isha Singh
C0279,Aarav Sharma
C0282,Rahul Singh
C0283,Aditya Deshmukh
C0285,Kavya Patil
C0286,Aditi Joshi
C0289,Aditya Singh
C0292,Karan Sharma
C0293,Isha Joshi
C0294,Pooja Sharma
C0295,Kavya Verma
C0298,Rohan Mehta
C0300,Ananya Kulkarni
C0301,Kavya Patil
C0302,Ananya Verma
C0303,Aarav Verma
C0304,Arjun Joshi
C0307,Neha Kulkarni
C0309,Vivaan Verma
C0311,Isha Singh
C0312,Ananya Verma
C0313,Aditi Shah
C0314,Aarav Verma
C0316,Rohan Sharma
C0318,Neha Singh
C0321,Rohan Gupta
C0322,Pooja Verma
C0323,Arjun Kulkarni
C0325,Rohan Patil
C0327,Pooja Shah
C0329,Ananya Mehta
C0330,Pooja Joshi
C0331,Vivaan Mehta
C0332,Neha Shah
C0333,Sneha Verma
C0334,Priya Patil
C0336,Aditi Gupta
C0340,Arjun Joshi
C0344,Neha Patil
C0345,Arjun Deshmukh
C0346,Karan Mehta
C0347,Kavya Patil
C0350,Aarav Singh
C0351,Kavya Mehta
C0352,Sneha Patil
C0356,Karan Singh
C0357,Aditi Mehta
C0358,Aarav Sharma
C0361,Rohan Gupta
C0363,Isha Patil
C0364,Rohan Shah
C0365,Pooja Joshi
C0367,Aarav Joshi
C0368,Priya Verma
C0369,Vivaan Deshmukh
C0371,Aarav Verma
C0372,Aditi Shah
C0374,Priya Shah
C0376,Isha Kulkarni
C0377,Rahul Singh
C0379,Aditya Deshmukh
C0382,Pooja Verma
C0383,Aditya Deshmukh
C0384,Rohan Joshi
C0385,Rahul Deshmukh
C0386,Ananya Deshmukh
C0387,Aditya Joshi
C0388,Pooja Singh
C0392,Aarav Mehta
C0394,Aditya Singh
C0396,Aarav Kulkarni
C0398,Arjun Kulkarni
C0400,Kavya Singh
C0403,Vivaan Joshi
C0404,Rohan Mehta
C0406,Priya Verma
C0407,Priya Sharma
C0408,Sneha Singh
C0409,Rahul Patil
C0410,Ananya Mehta
C0411,Priya Singh
C0412,Isha Verma
C0413,Karan Sharma
C0416,Priya Joshi
C0418,Rahul Deshmukh
C0423,Sneha Shah
C0426,Sneha Shah
C0430,Arjun Sharma
C0432,Aarav Verma
C0433,Kavya Kulkarni
C0434,Sneha Shah
C0438,Ananya Deshmukh
C0439,Aditya Kulkarni
C0440,Pooja Patil
C0444,Rohan Patil
C0445,Kavya Deshmukh
C0446,Neha Patil
C0447,Pooja Mehta
C0448,Pooja Verma
