customer_id,customer_name,first_purchase_date,last_purchase_date,active_days
C0140,Rohan Joshi,2025-05-21,2026-07-29,434
C0326,Rahul Shah,2025-05-20,2026-07-26,432
C0031,Neha Gupta,2025-05-24,2026-07-29,431
C0360,Aditi Gupta,2025-05-19,2026-07-20,427
C0045,Isha Shah,2025-06-08,2026-08-06,424
C0315,Aditi Singh,2025-05-21,2026-07-19,424
C0361,Rohan Gupta,2025-05-19,2026-07-17,424
C0465,Priya Gupta,2025-06-05,2026-07-30,420
C0350,Aarav Singh,2025-05-27,2026-07-11,410
C0176,Ananya Gupta,2025-06-02,2026-07-14,407
C0300,Ananya Kulkarni,2025-06-15,2026-07-25,405
C0381,Pooja Gupta,2025-06-28,2026-08-03,401
C0044,Arjun Mehta,2025-07-04,2026-08-03,395
C0223,Isha Patil,2025-06-09,2026-07-09,395
C0244,Rohan Joshi,2025-06-07,2026-07-07,395
C0401,Rahul Gupta,2025-06-20,2026-07-20,395
C0464,Isha Patil,2025-06-16,2026-07-15,394
C0237,Kavya Kulkarni,2025-07-11,2026-08-06,391
C0265,Pooja Sharma,2025-06-08,2026-07-01,388
C0445,Kavya Deshmukh,2025-06-28,2026-07-20,387
C0321,Rohan Gupta,2025-07-11,2026-07-29,383
C0485,Aarav Verma,2025-05-21,2026-06-08,383
C0019,Ananya Singh,2025-07-18,2026-08-04,382
C0217,Vivaan Shah,2025-06-26,2026-07-12,381
C0371,Aarav Verma,2025-05-28,2026-06-12,380
C0196,Neha Verma,2025-07-10,2026-07-20,375
C0094,Aditi Mehta,2025-06-26,2026-07-03,372
C0052,Vivaan Deshmukh,2025-05-29,2026-06-04,371
C0435,Aarav Gupta,2025-05-18,2026-05-23,370
C0311,Isha Singh,2025-06-06,2026-06-08,367
C0047,Vivaan Joshi,2025-06-14,2026-06-13,364
C0124,Aditi Verma,2025-07-13,2026-07-10,362
C0161,Arjun Shah,2025-05-21,2026-05-18,362
C0256,Rohan Patil,2025-06-30,2026-06-27,362
C0280,Ananya Sharma,2025-07-01,2026-06-25,359
C0032,Aditya Mehta,2025-08-16,2026-08-07,356
C0354,Rahul Sharma,2025-07-24,2026-07-14,355
C0293,Isha Joshi,2025-07-23,2026-07-12,354
C0112,Ananya Singh,2025-08-05,2026-07-23,352
C0153,Neha Patil,2025-05-25,2026-05-07,347
C0266,Vivaan Kulkarni,2025-07-28,2026-07-10,347
C0439,Aditya Kulkarni,2025-06-17,2026-05-30,347
C0157,Isha Verma,2025-08-08,2026-07-18,344
C0317,Kavya Gupta,2025-06-14,2026-05-22,342
C0233,Aditya Joshi,2025-06-30,2026-06-04,339
C0378,Isha Sharma,2025-09-02,2026-08-07,339
C0162,Rohan Kulkarni,2025-06-12,2026-05-12,334
C0160,Aditya Deshmukh,2025-07-10,2026-06-07,332
C0194,Karan Singh,2025-06-06,2026-05-03,331
C0027,Kavya Gupta,2025-08-31,2026-07-25,328
C0227,Aditya Patil,2025-08-02,2026-06-24,326
C0388,Pooja Singh,2025-07-22,2026-06-13,326
C0440,Pooja Patil,2025-05-19,2026-04-10,326
C0108,Vivaan Sharma,2025-07-12,2026-06-01,324
C0288,Isha Verma,2025-07-16,2026-06-03,322
C0488,Aditya Patil,2025-06-05,2026-04-23,322
C0132,Aditi Verma,2025-08-31,2026-07-18,321
C0152,Arjun Mehta,2025-06-29,2026-05-16,321
C0261,Karan Singh,2025-08-18,2026-07-04,320
C0351,Kavya Mehta,2025-07-12,2026-05-28,320
C0447,Pooja Mehta,2025-06-30,2026-05-14,318
C0071,Pooja Kulkarni,2025-09-23,2026-08-06,317
C0472,Karan Gupta,2025-06-21,2026-05-04,317
C0170,Rohan Patil,2025-09-09,2026-07-18,312
C0220,Rohan Sharma,2025-05-23,2026-03-30,311
C0003,Vivaan Kulkarni,2025-06-11,2026-04-17,310
C0416,Priya Joshi,2025-06-20,2026-04-26,310
C0100,Rohan Sharma,2025-07-02,2026-05-03,305
C0168,Arjun Sharma,2025-07-20,2026-05-21,305
C0475,Ananya Sharma,2025-05-28,2026-03-29,305
C0133,Kavya Shah,2025-07-19,2026-05-18,303
C0386,Ananya Deshmukh,2025-07-31,2026-05-29,302
C0041,Sneha Verma,2025-07-23,2026-05-17,298
C0274,Aarav Mehta,2025-06-06,2026-03-31,298
C0021,Neha Kulkarni,2025-08-06,2026-05-29,296
C0040,Isha Singh,2025-07-05,2026-04-26,295
C0146,Aditya Kulkarni,2025-07-14,2026-05-03,293
C0198,Aditi Verma,2025-06-17,2026-04-04,291
C0398,Arjun Kulkarni,2025-07-31,2026-05-18,291
C0216,Kavya Deshmukh,2025-09-30,2026-07-17,290
C0410,Ananya Mehta,2025-05-16,2026-03-02,290
C0460,Pooja Mehta,2025-06-18,2026-04-03,289
C0438,Ananya Deshmukh,2025-08-18,2026-06-02,288
C0448,Pooja Verma,2025-09-01,2026-06-15,287
C0103,Kavya Deshmukh,2025-10-15,2026-07-26,284
C0493,Arjun Sharma,2025-10-07,2026-07-16,282
C0174,Pooja Kulkarni,2025-09-07,2026-06-15,281
C0145,Priya Kulkarni,2025-06-22,2026-03-29,280
C0092,Aarav Joshi,2025-10-26,2026-07-29,276
C0150,Arjun Joshi,2025-05-16,2026-02-15,275
C0494,Kavya Singh,2025-07-05,2026-04-06,275
C0424,Aditi Sharma,2025-08-25,2026-05-24,272
C0441,Aditya Gupta,2025-06-16,2026-03-15,272
C0429,Rahul Singh,2025-10-16,2026-07-14,271
C0308,Kavya Mehta,2025-07-16,2026-04-11,269
C0111,Aditya Patil,2025-07-07,2026-04-01,268
C0137,Aditi Kulkarni,2025-08-04,2026-04-27,266
C0392,Aarav Mehta,2025-07-24,2026-04-16,266
C0384,Rohan Joshi,2025-09-09,2026-06-01,265
C0397,Rohan Joshi,2025-08-01,2026-04-23,265
C0340,Arjun Joshi,2025-07-10,2026-03-29,262
C0120,Rahul Patil,2025-05-16,2026-02-01,261
C0271,Kavya Sharma,2025-10-12,2026-06-30,261
C0105,Pooja Joshi,2025-07-17,2026-04-02,259
C0149,Rohan Deshmukh,2025-08-02,2026-04-17,258
C0014,Arjun Mehta,2025-07-01,2026-03-14,256
C0363,Isha Patil,2025-11-13,2026-07-27,256
C0366,Ananya Shah,2025-05-28,2026-02-08,256
